Time, t (seconds)	Angle Rad	Uncertainty Time	Uncertaitny Angle
0.0000	1.2217	0.0330	0.0175
1.0000	-0.4363	0.0330	0.0175
2.0000	-1.0297	0.0330	0.0175
3.0000	-0.6283	0.0330	0.0175
4.0000	0.4014	0.0330	0.0175
5.0000	1.0297	0.0330	0.0175
6.0000	0.7156	0.0330	0.0175
7.0000	-0.0524	0.0330	0.0175
8.0000	-0.6981	0.0330	0.0175
8.4667	0.8552	0.0330	0.0175
9.0000	-0.7679	0.0330	0.0175
10.0000	-0.2967	0.0330	0.0175
11.0000	0.3316	0.0330	0.0175
12.0000	0.6981	0.0330	0.0175
13.0000	0.6458	0.0330	0.0175
14.0000	0.2094	0.0330	0.0175
15.0000	-0.2967	0.0330	0.0175
16.0000	-0.5934	0.0330	0.0175
17.0000	-0.5236	0.0330	0.0175
18.0000	-0.1920	0.0330	0.0175
19.0000	0.2269	0.0330	0.0175
20.0000	0.4887	0.0330	0.0175
21.0000	0.5061	0.0330	0.0175
22.0000	0.3142	0.0330	0.0175
23.0000	-0.0175	0.0330	0.0175
24.0000	-0.2967	0.0330	0.0175
25.0000	-0.4189	0.0330	0.0175
26.0000	-0.3491	0.0330	0.0175
27.0000	-0.1222	0.0330	0.0175
28.0000	0.1571	0.0330	0.0175
29.0000	0.3491	0.0330	0.0175
30.0000	0.4014	0.0330	0.0175
31.0000	0.2793	0.0330	0.0175
32.0000	0.1396	0.0330	0.0175
33.0000	-0.1571	0.0330	0.0175
34.0000	-0.2967	0.0330	0.0175
34.5000	0.3491	0.0330	0.0175
35.0000	-0.2967	0.0330	0.0175
36.0000	-0.1745	0.0330	0.0175
37.0000	0.0175	0.0330	0.0175
38.0000	0.1920	0.0330	0.0175
39.0000	0.2967	0.0330	0.0175
40.0000	0.2793	0.0330	0.0175
41.0000	0.1745	0.0330	0.0175
42.0000	0.0175	0.0330	0.0175
43.0000	-0.1571	0.0330	0.0175
44.0000	-0.2443	0.0330	0.0175
45.0000	-0.2269	0.0330	0.0175
46.0000	-0.1222	0.0330	0.0175
47.0000	0.0175	0.0330	0.0175
48.0000	0.1745	0.0330	0.0175
49.0000	0.2443	0.0330	0.0175
50.0000	0.2269	0.0330	0.0175
51.0000	0.1396	0.0330	0.0175
52.0000	0.0175	0.0330	0.0175
53.0000	-0.1222	0.0330	0.0175
53.4000	0.2269	0.0330	0.0175
54.0000	-0.1745	0.0330	0.0175
55.0000	-0.1745	0.0330	0.0175
56.0000	-0.1920	0.0330	0.0175
57.0000	0.0175	0.0330	0.0175
58.0000	0.1222	0.0330	0.0175
59.0000	0.1920	0.0330	0.0175
60.0000	-0.1745	0.0330	0.0175
62.0000	0.1920	0.0330	0.0175
63.0000	0.0349	0.0330	0.0175
64.0000	-0.0698	0.0330	0.0175
65.0000	-0.1222	0.0330	0.0175
1.5	0.0175	0.0330	0.0175
2.5	0.9250	0.0330	0.0175
3.5	0.9948	0.0330	0.0175
4.5	0.1396	0.0330	0.0175
5.5	-0.6981	0.0330	0.0175
6.5	-0.8901	0.0330	0.0175
7.5	-0.3142	0.0330	0.0175
8.5	0.4712	0.0330	0.0175
9.5	0.8378	0.0330	0.0175
10.5	0.6283	0.0330	0.0175
11.5	0.0349	0.0330	0.0175
12.5	-0.5411	0.0330	0.0175
13.5	-0.7156	0.0330	0.0175
14.5	-0.4363	0.0330	0.0175
15.5	0.1047	0.0330	0.0175
16.5	0.5061	0.0330	0.0175
17.5	0.6283	0.0330	0.0175
18.5	0.5061	0.0330	0.0175
19.5	0.0175	0.0330	0.0175
20.5	-0.3491	0.0330	0.0175
21.5	-0.5061	0.0330	0.0175
22.5	-0.4014	0.0330	0.0175
23.5	-0.1222	0.0330	0.0175
24.5	0.2269	0.0330	0.0175
25.5	0.4189	0.0330	0.0175
26.5	0.4363	0.0330	0.0175
27.5	0.2793	0.0330	0.0175
28.5	0.0000	0.0330	0.0175
29.5	-0.2269	0.0330	0.0175
30.5	-0.3665	0.0330	0.0175
31.5	-0.3142	0.0330	0.0175
32.5	-0.1396	0.0330	0.0175
33.5	0.0873	0.0330	0.0175
34.5	0.2793	0.0330	0.0175
35.5	0.3491	0.0330	0.0175
36.5	0.2793	0.0330	0.0175
37.5	0.1222	0.0330	0.0175
38.5	-0.0698	0.0330	0.0175
39.5	-0.2269	0.0330	0.0175
40.5	-0.2618	0.0330	0.0175
41.5	-0.2094	0.0330	0.0175
42.5	-0.0698	0.0330	0.0175
43.5	0.1222	0.0330	0.0175
44.5	0.2443	0.0330	0.0175
45.5	0.2618	0.0330	0.0175
46.5	0.2094	0.0330	0.0175
47.5	0.0698	0.0330	0.0175
48.5	-0.0698	0.0330	0.0175
49.5	-0.1745	0.0330	0.0175
50.5	-0.2094	0.0330	0.0175
51.5	-0.1571	0.0330	0.0175
52.5	-0.0524	0.0330	0.0175
53.5	0.0873	0.0330	0.0175
54.5	0.1920	0.0330	0.0175
55.5	0.2269	0.0330	0.0175
56.5	0.1745	0.0330	0.0175
57.5	0.0698	0.0330	0.0175
58.5	-0.0349	0.0330	0.0175
59.5	-0.1222	0.0330	0.0175
60.5	-0.1745	0.0330	0.0175
